Découvertes des 72 Compétences,,,,,,
Captiver,Charisme,Emp +3,Convaincre,VOL +2,Interpréter,PER +1
[Séduction],"Tout être attiré par votre sexe/type/etc. est (au pire) d’une disposition neutre
Toute séduction dure pendant un NdT = succès obtenus (au lieu d’échanger)
On accède à vos requêtes jusqu’à souffrir d’un Niv égal à votre Niv de CT",,[Négociation] ,"Immunisé contre toute confiscation ou arnaque (ou pire +|-4) de marchandage
Compter chaque NdT de Courtisanat comme celle suivante (Jour -> Pentaine)
Toute valorisation se vaut et peut se marchander en prix idéal (via des cO)",[Instrumental],"Les dé d’ambiance octroyés par succès restent (au lieu de partir après le NdT)
Utilisez cette grappe de dé en entier sur les jets d’inspiration ou présentation
Tout succès peut s’utiliser comme un traitement d’insanité"
[Mimétisme],"Imitez toute créature au même instant que ses actions, tel un miroir
Tout succès communique avec quoi que ce soit d’un Niv au moins Essentiel
Toute être non-sociable vous accepte comme l’un des siens par mimétisme",,[Tromperie] ,"Échangez 2 succès contre 1 Niv apparent d’utilité/qualité/rareté d’une chose
Utilisez cette grappe de dé en entier sur les jets de présentation ou séduction
Échangez 1 succès par NdT où la tromperie sera telle une vérité pour tous",[Chant],"Les dé d’ambiance octroyés par succès restent (au lieu de partir après le NdT)
Utilisez cette grappe de dé en entier sur les jets d’inspiration ou séduction
Tout succès peut s’utiliser comme un traitement de rancœurs"
[Présentation],"Tout individu sociable rencontré vous est (au pire) hostile (jamais ennemi)
Votre groupe (via un jet de cohésion) partage vos dispositions désirée avec X
On vous attaque en dernier OU on se concentre que sur vous (quand désiré)",,[Inspiration] ,"+1 succès par 2 succès aux jets envers ceux en disposition négative sur vous
Ignorez votre Niv de CT de NdG lors de jet de Cohésion de groupe
Toute inspiration dure pendant un NdT égal aux succès (au lieu d’échanger)",[Narration],"Échangez 2 succès contre 1 Niv apparent d’Utilité|Qualité|Rareté d’une chose
Utilisez cette grappe de dé en entier sur les jets d’inspiration ou tromperie
A chaque NdT une narration se propage à +1 NdG jusqu’aux succès obtenus"
Discerner,Détection,Per +3,Découvrir,CRÉ +2,Dépister,EMP +1
[Vision],"Peut reconnaître un signe, une écriture, etc. à n’importe quelle distance
Tout succès comprend la gestuelle d’une chose d’un Niv au moins Essentiel
Aucune diversion ne fonction sur votre regard qui ne perds jamais sa cible",,[Investigation] ,"Dès que l’on investigue une chose, on sait son origine, sa caste, etc.
Dès que l’on investigue une chose, on sait sa direction ou type de motivation
Dès que l’on investigue une chose, on sait où est caché votre plus grand secret",[Odorat] ,"Sentez l’odeur d’une chose un instant avant qu’elle n’arrive physiquement
Détectez passivement l’odeur des choses dangereuses (pièges, prédateurs, etc.)
Toute chose laisse une odeur à détecter, quelle qu’en soit sa situation actuelle"
[Audition],"Vous pouvez tenter retracer l’origine localisée de n’importe quel votre
Vous pouvez entendre les ultrasons (infimes) et infrasons (tremblements)
Toute chose faisant du bruit est annoncée (hors-jeu). Vous pouvez y réagir",,[Estimation] ,"Divisez par deux les échecs si estimant l’utilité/qualité/rareté d’une chose
Vous savez quelle est l’origine de l’aspect que vous venez d’estimer
Vous savez où une chose estimée serait la plus utile, optimisée, pratique, etc.",[Goût] ,"Échangez 2 succès contre 1 succès d’odorat ou de toucher
Détectez le mal le plus important qu’une chose possède en la goûtant
En goûtant une chose connue, elle est reconnue et assimilée à une paire utile"
[Toucher],"Détectez passivement les mouvements (par l’air) des choses dans le noir
Détectez le mal le plus important qu’une créature possède en la touchant
Détectez “l’intangible” (l’étant normalement), les gazes, les esprits, etc.",,[Ressenti] ,"Ressent les tentatives d’inspiration/négociation/tromperie/séduction sur soi
Ressent les DS d’insanité/rancœurs de toute être qu’il observe
Ressent la vérité (tel un parlé de Niv Essentiel) derrière tout échange social",[Interoception] ,"Ne peut créer d’accident lié à la portée de tout chose qu’il utilise lui-même
Sait votre état (orientation, santé, temps, etc.) et ne peut pas croire autrement
Est toujours prévenu par le Révélateur (sans précision) des dangers possibles"
Concevoir,Réflexion,Cré +3,Acculturer,EMP +2,Acclimater,VOL +1
[Artisanat],"Réduisez d’un Niv de valeur le coût en ressources de toute fabrication
Réduisez d’un Niv de valeur le coût en temps de toute fabrication
Toute fabrication vous distingue d’un titre (Niv = Réflexion), à accroître",,[Jeux] ,"Divisez par deux les échecs lorsque jouant à quelque chose
Tous sont prêts à parier avec vous une (NdV (= à leur Disposition)) x Succès
A chaque NdT votre tradition se propage à +1 NdG jusqu’aux succès obtenus",[Nature] ,"Doublez vos succès afin de connaître l’utilité (pour X) d’une chose naturelle
Utilisez cette grappe de dé en entier sur les jets d’apprivoisement, de médecine, d’artisanat, de pastoralisme, d’agronomie ou de géographie
Vos sacrifices riliques comptent comme d’un Niv de valeur supérieure"
[Médecine],"Divisez par deux les échecs obtenus lors de tout jet de médecine
Tout créature rencontrée révèle les dés précis de votre plus grand mal
Tant que vous réussissez un jet vs Niv +6, vous maintenez un mort en vie ",,[Société] ,"Vous connaissez toujours l’origine (d’où ça vient) d’un sujet donné
Utilisez cette grappe de dé en entier sur les jets d’artisanat, de jeux, de géographie, de narration, de présentation ou de casse-têtes.
Toute peuple vous prend pour l’un des leurs (ou tel un adopté assimilé)",[Pastoralisme] ,"En voyant une créature, vous savez le chiffre de votre pire et meilleur attribut
Utilisez cette grappe de dé et avec +1 dé gratuit sur les jets d’apprivoisement
Votre harde (après l’avoir surveillée une fois) est immunisée contre la fuite"
