﻿Castes & Niv des Valeurs,,,,,,,,,
Caste,(G)uerriers,(R)ôdeurs,(A)rtisans,(O)uvriers,(A)ides,(M)archands,(É)rudits,(P)rêtres,Caste
Sous-Castes,Champions | Mercenaires | Soldats,Vagabonds | Survivalistes | Dissidents,"Fournisseurs | Fabricants |
 Ingénieurs",Extracteurs | Transporteurs | Producteurs,Soutiens | Animateurs | Fêtards,Bureaucrates | Commerçants | Charlatans,"Chercheurs | Sages | 
Artistes","Mages | Cultistes | 
Guides",Sous-Castes
"Attributs
Motivations","Force & Autorité
Réussite & Guerre","Agilité & Nature
Liberté & Survie","Dextérité & Propriété
Exploration & Artifice","Vigueur & Collectivité
Tolérance & Labeur","Empathie & Société
Générosité & Ornement","Perception & Finance
Sécurité & Foi","Créativité & Instruction
Fondation & Rite","Volonté & Politique
Pouvoir & Sortilège","Attributs
Motivations"
Aristois,-1,-1,-1,-1,+,+,,+ +,Aristois
Griscribe,+,-2,-2,+,,+ +,,,Griscribe
Navillis,-3,,+,,+ +,,+,-1,Navillis
Méridien,,+ +,,,-2,-1,,+,Méridien
Haut Ylfe,+,+,,,-3,-3,+ + +,+,Haut Ylfe
Ylfe pâle,-3,-1,,-1,-4,+ +,+ +,+ + + +,Ylfe pâle
Ylfe des lacs,+ + + +,,-3,,-3,-3,+ + + +,+,Ylfe des lacs
Iqqar,-3,+ +,,-1,+ + +,+ +,-1,-2,Iqqar
Slaadéen,+ +,,-3,+,+ +,-3,,+,Slaadéen
Tchalkchaï,-2,-2,+ + +,+ + +,+ + +,+ + +,-4,-4,Tchalkchaï
Mouvance (Rildée),Währos,Yekkwuî,Tëhkswen,Hsaewâl,Samianâ,Minzhijë,Âpsebjum,Hwëthioz,Mouvance (Rildée)
Devises / Labeur,Armes & Prouesses,Combines & Vols,Prototypes & Outillages,Transports & Récoltes,Services & Performances,Informations & Échanges,Recherches & Arts,Titres  & Dévotions,(Niv de) Valeur
"1pO Heure
(0.1 cO)","Preuve d’aptitude (bras de fer), Aiguisage d’épée, Flèches, Gants d’entraînement, Exercice de tir/maniement","Rumeurs locales, Vol à la tire, Pince à crochets, Mendier, Tour de passe-passe, Monnaie contrefaîte","Clous forgés, Réparation rapide d’outil, Outil de poche, Coup de main, Bricolage, cél de porte, Broche simple","Graines, Récolte de légumes, Outil de jardinage, Herbes fraîches, 2 Paumes de Vivres, Colis livré localement","Conversation plaisante, Chaussures cirées, Vin servi, Air de flûte, Faire une partie de carte, Jeu de tir forain","1pO, Cachet d’approbation, Nouvelle relayée, Conclure une affaire, Taux de change, État des stocks","Mélodie ébauchée, Crayon, Analyse/Révision rapide, Croquis rapide, Manuscrit","Mention honorifique, Brève présentation, Signe d’admiration, Faveur publique, Référence, Prière/Présage",-2
"1eO Veillée
(0.3 cO)","Courte escorte armée, Entraînement à l’épée, Défi martial, Duel simulé, Louer une prouesse, Cours martial","Carte de contrebande, Espionnage rapide, Filature, Arnaque, Larcin mineur, Objet volé, Masque","Pièces détachées, Assemblage de gadget, Rouage mécanique, Corde renforcée, Coupe-boulons","Panier de fruits, Entretien de parcelle, Arrosoir, Aide aux champs, 5 Paumes de Vivres, Message envoyé, Guide local","Bain parfumé, Repas, Chanson chantée, Service d’une table, Court spectacle de rue, Jeu de société","1eO, Rapport quotidien, Étude de marché rapide, Note de crédit, Tarif ajusté, Brochure d’annonce","Esquisse poétique, Conseil d’artiste, Consultation académique, Carnet de Dessins, ","Applaudissements, Titre mineur, Badge de loyauté, Reconnaissance locale, Symbole gravé",-1
"1cO Matinée
1 Labeur de travail,
8h sur la Journée","Expédition punitive, Garde de porte sur 1 jour, Lance standard, Surveillance armée, Duel d’entraînement","Code secret, Braconnage, Infiltration rapide, Extorsion mineure, Poignard dissimulé, Plan élaboré","1 Outil, Fabrication d’une table, Chaise artisanale, 1 Sac de métal précieux, Étau portable, Ensemble de pinces","1 Sac de Vivres, 1 Charrette de Bois, Bétail nourri, Cueillette d’1 jour, Filet de pêche, Livraison express","Spectacle d’une soirée, Concert privé, Assistance de noble, Soirée de conte ou de jeu, Offrir une tournée","1cO, Relevé commercial, Négociation, Inspection douanière, Bilan comptable, Fichier client, Acte notarié","Partition musicale, Parchemin, Essai philosophique, Carnet de dessins, Ébauche","Allocution publique, Agenda de travail, Exemption de petit délit, Titre local, Rituel d’initiation",0
"3cO Pentaine
 
Car 3 Matinées = 1 “Pentaine” de travail","Mercenaire d’1 Jour, Garde rapprochée, Sécurité d’événement, Quête (5 jours), Patrouille, Défense de camp","Liste de cibles, Vol de documents, Extorsion simple, Chantage, Carte secrète, Dossier codé","Ensemble de serrurerie, Conception d’une porte de sécurité, Fabrication d’outillage, 1 Outil sur mesure","5 jours de récolte, Récolte d’herbes, Festin, Gestion de verger, Chariot de transport, Guide d’un passage difficile","Cours de danse, Semaine de fête (festival), Soins relaxants intensifs, Guide de visites, 1 Habit de qualité","3cO, Points d’intérêts locaux, Licence de vente, Lettre de change, Carte détaillée, Taxes douanières, Contact","Partage de connaissance, Guérison réussie d’un bétail, Prédiction difficile, Portrait","Réforme interne, Manuel de politique, Exemption de petit devoir, Entrevue noble, Ode cérémonielle",+1
